"CN","INVYR","LICHEN_REGION","LICH_SPPCD","MEASYEAR","LICHEN_REGION_DESCR","SPP_ACRONYM","GENUS","SUM_ABUNDANCE","FREQUENCY_PCT","SPECIES","PLOTS_IN_REGION","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"273478009489998",2003,4,4002,2003,"West Coast                              ","Melele","Melanohalea                             ",38,6,"elegantula                              ",218,"",2014-08-04,"489998","",,""
"273478010489998",2003,4,4004,2003,"West Coast                              ","Melexl","Melanohalea                             ",62,11,"exasperatula                            ",218,"",2014-08-04,"489998","",,""
"273478011489998",2003,4,4005,2003,"West Coast                              ","Melful","Melanelixia                             ",36,6,"fuliginosa                              ",218,"",2014-08-04,"489998","",,""
"273478012489998",2003,4,4006,2003,"West Coast                              ","Melgla","Melanelixia                             ",40,6,"glabra                                  ",218,"",2014-08-04,"489998","",,""
"273478013489998",2003,4,4010,2003,"West Coast                              ","Melmul","Melanohalea                             ",18,3,"multispora                              ",218,"",2014-08-04,"489998","",,""
"273478014489998",2003,4,4014,2003,"West Coast                              ","Melsar","Melanelixia                             ",6,1,"subargentifera                          ",218,"",2014-08-04,"489998","",,""
"273478015489998",2003,4,4015,2003,"West Coast                              ","Melsub","Melanelixia                             ",8,2,"subaurifera                             ",218,"",2014-08-04,"489998","",,""
"273478016489998",2003,4,4016,2003,"West Coast                              ","Melsel","Melanohalea                             ",42,7,"subelegantula                           ",218,"",2014-08-04,"489998","",,""
"273478017489998",2003,4,4017,2003,"West Coast                              ","Melsol","Melanohalea                             ",96,16,"subolivacea                             ",218,"",2014-08-04,"489998","",,""
"273478018489998",2003,4,4101,2003,"West Coast                              ","Menter","Menegazzia                              ",31,6,"terebrata                               ",218,"",2014-08-04,"489998","",,""
"273478019489998",2003,4,4403,2003,"West Coast                              ","Nephel","Nephroma                                ",20,3,"helveticum                              ",218,"",2014-08-04,"489998","",,""
"273478020489998",2003,4,4405,2003,"West Coast                              ","Neplae","Nephroma                                ",3,0,"laevigatum                              ",218,"",2014-08-04,"489998","",,""
"273478021489998",2003,4,4406,2003,"West Coast                              ","Nepocc","Nephroma                                ",3,0,"occultum                                ",218,"",2014-08-04,"489998","",,""
"273478022489998",2003,4,4407,2003,"West Coast                              ","Neppar","Nephroma                                ",2,0,"parile                                  ",218,"",2014-08-04,"489998","",,""
"273478023489998",2003,4,4408,2003,"West Coast                              ","Nepres","Nephroma                                ",23,4,"resupinatum                             ",218,"",2014-08-04,"489998","",,""
"273478024489998",2003,4,4551,2003,"West Coast                              ","Nodabb","Nodobryoria                             ",169,27,"abbreviata                              ",218,"",2014-08-04,"489998","",,""
"273478025489998",2003,4,4552,2003,"West Coast                              ","Nodore","Nodobryoria                             ",76,12,"oregana                                 ",218,"",2014-08-04,"489998","",,""
"273478026489998",2003,4,4601,2003,"West Coast                              ","Norpul","Normandina                              ",3,0,"pulchella                               ",218,"",2014-08-04,"489998","",,""
"273478027489998",2003,4,4708,2003,"West Coast                              ","Panmed","Fuscopannaria                           ",13,2,"mediterranea                            ",218,"",2014-08-04,"489998","",,""
"273478028489998",2003,4,4800,2003,"West Coast                              ","Par   ","Parmelia                                ",21,3,"",218,"",2014-08-04,"489998","",,""
"273478029489998",2003,4,4802,2003,"West Coast                              ","Parhyg","Parmelia                                ",74,13,"hygrophila                              ",218,"",2014-08-04,"489998","",,""
"273478030489998",2003,4,4804,2003,"West Coast                              ","Parsax","Parmelia                                ",14,2,"saxatilis                               ",218,"",2014-08-04,"489998","",,""
"273478031489998",2003,4,4805,2003,"West Coast                              ","Parsqu","Parmelia                                ",3,0,"squarrosa                               ",218,"",2014-08-04,"489998","",,""
"273478032489998",2003,4,4806,2003,"West Coast                              ","Parsul","Parmelia                                ",183,30,"sulcata                                 ",218,"",2014-08-04,"489998","",,""
"273478033489998",2003,4,4905,2003,"West Coast                              ","Pllpar","Parmeliella                             ",3,0,"parvula                                 ",218,"",2014-08-04,"489998","",,""
"273478034489998",2003,4,5001,2003,"West Coast                              ","Pnaque","Parmelina                               ",42,6,"quercina                                ",218,"",2014-08-04,"489998","",,""
"273478035489998",2003,4,5201,2003,"West Coast                              ","Popamb","Parmeliopsis                            ",50,9,"ambigua                                 ",218,"",2014-08-04,"489998","",,""
"273478036489998",2003,4,5202,2003,"West Coast                              ","Pophyp","Parmeliopsis                            ",64,11,"hyperopta                               ",218,"",2014-08-04,"489998","",,""
