"VALUE","MEANING","TYPGRPCD","MANUAL_START","MANUAL_END","ALLOWED_IN_FIELD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
101,"Jack pine",100,1.7,,"Y","",2005-02-23,"333","",2009-01-27,"10854"
102,"Red pine",100,1.7,,"Y","",2005-02-23,"333","",2009-01-27,"10854"
103,"Eastern white pine",100,1.7,,"Y","",2005-02-23,"333","",2009-01-27,"10854"
104,"Eastern white pine / eastern hemlock",100,1.7,,"Y","",2005-02-23,"333","",2009-01-27,"10854"
105,"Eastern hemlock",100,1.7,,"Y","",2005-02-23,"333","",2009-01-28,"10854"
120,"Spruce / fir group",120,1.7,,"N","",2005-02-23,"333","",2009-01-27,"10854"
121,"Balsam fir",120,1.7,,"Y","",2005-02-23,"333","",2009-01-28,"10854"
122,"White spruce",120,1.7,,"Y","",2005-02-23,"333","",2009-01-28,"10854"
123,"Red spruce",120,1.7,,"Y","",2005-02-23,"333","",2009-01-28,"10854"
124,"Red spruce / balsam fir",120,1.7,,"Y","",2005-02-23,"333","",2009-01-27,"10854"
125,"Black spruce",120,1.7,,"Y","",2005-02-23,"333","",2009-01-28,"10854"
126,"Tamarack",120,1.7,,"Y","",2005-02-23,"333","",2009-01-28,"10854"
127,"Northern white-cedar",120,1.7,,"Y","",2005-02-23,"333","",2009-01-28,"10854"
128,"Fraser fir",120,4,,"Y","",2006-10-12,"333","",2009-01-28,"10854"
129,"Red spruce / Fraser fir",120,4,,"Y","",2006-10-12,"333","",2009-01-28,"10854"
140,"Longleaf / slash pine group",140,1.7,,"N","",2005-02-23,"333","",2009-01-28,"10854"
141,"Longleaf pine",140,1.7,,"Y","",2005-02-23,"333","",2009-01-28,"10854"
142,"Slash pine",140,1.7,,"Y","",2005-02-23,"333","",2009-01-28,"10854"
150,"Tropical softwoods group",150,4,,"Y","",2006-10-12,"333","",2009-01-28,"10854"
151,"Tropical pines",150,4,,"Y","",2006-10-12,"333","",2009-01-28,"10854"
