"VALUE","MEANING","ABBR","DUFF_DENSITY","DUFF_CARBON_RATIO","LITTER_DENSITY","LITTER_CARBON_RATIO","PILE_DENSITY","PILE_CARBON_RATIO","PILE_DECAY_RATIO","FWD_DENSITY","FWD_CARBON_RATIO","FWD_DECAY_RATIO","FWD_SMALL_QMD","FWD_MEDIUM_QMD","FWD_LARGE_QMD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
100,"White / red / jack pine group","rwjpin",13.21,.5,5.14,.5,23.71,.5,.7,23.71,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
120,"Spruce / fir group","esprfir",4.76,.5,1.85,.5,22.46,.5,.7,22.46,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
140,"Longleaf / slash pine group","lnglfslh",13.21,.5,5.14,.5,33.7,.5,.7,33.7,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
150,"Tropical softwoods group","othtropswg",8.59,.5,3.34,.5,31.2,.5,.7,31.2,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
160,"Loblolly / shortleaf pine group","lobshrtp",13.72,.5,5.33,.5,29.33,.5,.7,29.33,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
170,"Other eastern softwoods group","otheswdg",8.59,.5,3.34,.5,24.34,.5,.7,24.34,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
180,"Pinyon / juniper group","",8.59,.5,3.34,.5,28.7,.5,.7,28.7,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
200,"Douglas-fir group","dgfirg",4.76,.5,1.85,.5,28.8,.5,.7,28.8,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
220,"Ponderosa pine group","pndrosag",8.59,.5,3.34,.5,23.09,.5,.7,23.09,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
240,"Western white pine group","wwhping",8.59,.5,3.34,.5,21.84,.5,.7,21.84,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
260,"Fir / spruce / mountain hemlock group","",4.76,.5,1.85,.5,22.46,.5,.7,22.46,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
280,"Lodgepole pine group","lodgpoleg",8.59,.5,3.34,.5,23.71,.5,.7,23.71,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
300,"Hemlock / Sitka spruce group","",4.76,.5,1.85,.5,26.21,.5,.7,26.21,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
320,"Western larch group","wlrchg",8.59,.5,3.34,.5,29.95,.5,.7,29.95,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
340,"Redwood group","redwoodg",8.59,.5,3.34,.5,21.22,.5,.7,21.22,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
360,"Other western softwoods group","wsftwds",8.59,.5,3.34,.5,24.34,.5,.7,24.34,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
370,"California mixed conifer group","",8.59,.5,3.34,.5,24.34,.5,.7,24.34,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
380,"Exotic softwoods group","exsftwdg",8.59,.5,3.34,.5,31.2,.5,.7,31.2,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
390,"Other softwoods group","othswdtypg",8.59,.5,3.34,.5,24.34,.5,.7,24.34,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
400,"Oak / pine group","oakpin",13.48,.5,5.24,.5,37.44,.5,.7,37.44,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
500,"Oak / hickory group","oakhck",11.51,.5,4.47,.5,28.7,.5,.7,28.7,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
600,"Oak / gum / cypress group","okgmcyp",11.46,.5,4.46,.5,32.45,.5,.7,32.45,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
700,"Elm / ash / cottonwood group","elmashcw",7.87,.5,3.06,.5,33.07,.5,.7,33.07,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
800,"Maple / beech / birch group","mbb",11.24,.5,4.37,.5,23.09,.5,.7,23.09,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
900,"Aspen / birch group","aspbrch",12.27,.5,4.77,.5,23.09,.5,.7,23.09,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
910,"Alder / maple group","aldrmapl",11.24,.5,4.37,.5,23.09,.5,.7,23.09,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
920,"Western oak group","wstoakg",11.51,.5,4.47,.5,31.82,.5,.7,31.82,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
940,"Tanoak / laurel group","tanoklrl",11.51,.5,4.47,.5,39.31,.5,.7,39.31,.5,.85,.087,.484,1.67,"",2010-04-21,"77777","",2010-06-17,"10497"
