"CN","RSCD","STATECD","START_INVYR","END_INVYR","GRM_TYP","GROW_TYP_CD","MORT_TYP_CD","REMV_TYP_CD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","TIMBERLAND_ONLY"
"164113422121573",22,4,2001,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113424121573",22,8,2002,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113426121573",22,16,2004,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113428121573",22,30,2003,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113430121573",22,32,2004,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113432121573",22,35,2005,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113434121573",22,38,2008,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113436121573",22,46,2008,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113438121573",22,49,2000,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-11-17,"489998","N"
"164113440121573",22,53,2010,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113442121573",22,56,2011,,"MODELED",1,1,0,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113443121573",23,17,2001,2005,"P2A",,,,"",2015-05-29,"121573","",2016-01-22,"121573","Y"
"164113444121573",23,17,2006,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113445121573",23,18,1999,2003,"P2A",,,,"",2015-05-29,"121573","",2016-01-22,"121573","Y"
"164113446121573",23,18,2004,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113447121573",23,19,1999,2003,"P2A",,,,"",2015-05-29,"121573","",2016-01-22,"121573","Y"
"164113448121573",23,19,2004,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113450121573",23,20,2006,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113451121573",23,26,2000,2004,"P2A",,,,"",2015-05-29,"121573","",2016-01-22,"121573","Y"
"164113452121573",23,26,2005,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113453121573",23,27,1999,2003,"P2A",,,,"",2015-05-29,"121573","",2016-01-22,"121573","Y"
"164113454121573",23,27,2004,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113455121573",23,29,1999,2003,"P2A",,,,"",2015-05-29,"121573","",2016-01-22,"121573","Y"
"164113456121573",23,29,2004,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113458121573",23,31,2006,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113460121573",23,38,2006,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113461121573",23,46,2001,2005,"P2A",,,,"",2015-05-29,"121573","",2016-01-22,"121573","Y"
"164113462121573",23,46,2006,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113463121573",23,55,2000,2004,"P2A",,,,"",2015-05-29,"121573","",2016-01-22,"121573","Y"
"164113464121573",23,55,2005,,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113465121573",23,56,2005,2005,"A2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","N"
"164113466121573",24,9,2003,2007,"P2A",2,2,2,"",2015-05-29,"121573","",2016-01-22,"121573","Y"
