"CN","HABTYPCD","PUB_CD","SCIENTIFIC_NAME","COMMON_NAME","VALID","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"3723566010690","CLS911","639","PICO/CEVE-ARPA6","lodgepole pine/snowbrush ceonothus-greenleaf manzanita (pumice)","Y","",2004-10-19,"10690","",,""
"3723567010690","CLSM","639","PICO/2SHRUB","lodgepole pine/shrub (mesic)","Y","",2004-10-19,"10690","",,""
"3723568010690","CLX104","639","?","Malheur(04) 4A: slope <30%, CLG211, CLS511, CLS411","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3723569010690","CLX120","639","?","Winema(20): CLG411, CLS212, CLG3","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3723570010690","CLX204","639","?","Malheur(04) 4B: slope 30-70%, CLG211, CLS511, CLS411","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3723571010690","CLX220","639","?","Winema(20): CLG311, CLM111, CLM211, CLS214","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3723572010690","CLX320","639","?","Winema(20): CLM211, CLS211, CLS213","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3723573010690","CLX420","639","?","Winema(20): CLG311","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3723574010690","CLX520","639","?","Winema(20): CLG9, CLS9","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3723575010690","CM","639","TSME","mountain hemlock","Y","",2004-10-19,"10690","",,""
"3723576010690","CMC0","639","TSME/2TE","mountain hemlock-associated important conifers","Y","",2004-10-19,"10690","",,""
"3723577010690","CMC1","639","TSME/CHNO","mountain hemlock-Alaska cedar","Y","",2004-10-19,"10690","",,""
"3723578010690","CMC151","639","CHNO/OPHO","Alaska cedar/devilsclub","Y","",2004-10-19,"10690","",,""
"3723579010690","CMC2","639","TSME-ABIES","mountain hemlock-true fir","Y","",2004-10-19,"10690","",,""
"3723580010690","CMC3","639","TSME-PICO","mountain hemlock-lodgepole pine","Y","",2004-10-19,"10690","",,""
"3723581010690","CMC311","639","TSME-PICO/ARNE","mountain hemlock-lodgepole pine/pinemat manzanita","Y","",2004-10-19,"10690","",,""
"3723582010690","CMC312","639","TSME-PICO/VASC","mountain hemlock-lodgepole pine/grouse whortleberry","Y","",2004-10-19,"10690","",,""
"3723583010690","CMC313","639","TSME-PICO-ABLA","mountain hemlock-lodgepole pine-subalpine fir","Y","",2004-10-19,"10690","",,""
"3723584010690","CMF0","639","TSME/2FORB","mountain hemlock/forbs","Y","",2004-10-19,"10690","",,""
"3723585010690","CMF1","639","TSME/XETE","mountain hemlock/common beargrass","Y","",2004-10-19,"10690","",,""
"3723586010690","CMF111","639","TSME/XETE","mountain hemlock/common beargrass (Warm Springs)","Y","",2004-10-19,"10690","",,""
"3723587010690","CMF131","639","TSME/XETE-VAMY2","mountain hemlock/common beargrass-whortleberry","Y","",2004-10-19,"10690","",,""
"3723588010690","CMF2","639","TSME/TITRU-ACTR","mountain hemlock/oneleaf foamflower-sweet after death","Y","",2004-10-19,"10690","",,""
"3723589010690","CMF250","639","TSME/TITRU-STLAR","mountain hemlock/oneleaf foamflower-twistedstalk","Y","",2004-10-19,"10690","",,""
"3723590010690","CMF251","639","TSME/CALEH2","mountain hemlock/Howell's marsh marigold","Y","",2004-10-19,"10690","",,""
