"CN","PUB_CD","TITLE","AUTHOR","TYPE","VALID","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"3719573010690","1001","Region 10; Resource Information Management:  Data Dictionary for the Chugach National Forest.","?","PVREF","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3719600010690","1002","A combination of R10-MB-210 (Ketchikan Area); R10-TP-57 (Chatham Area); R10-TP-72 (Stikine Area); and R10-TP-56 (Yakutat Foreland)","De Meo, Tom, Jon Martin, and Randolph A. West","PVREF","Y","",2004-10-19,"10690","",,""
"3719601010690","1003","Yakutat Existing Veg classification, 1995","Michael Shepherd, Chatham Area Ecologist","EVREF","Y","",2004-10-19,"10690","",,""
"3719497010690","101","Forest Habitat Types of Montana; Gen.Tech.Rep. INT-34","R.D. Pfister, B.L. Kovalchik, S.F. Arno, and R.C. Presby (1977)","PVREF","Y","",2004-10-19,"10690","",,""
"3727497010690","102","Key to Montana Forest/Woodland Habitat Types East of the Continental Divide, developed for RMRS FIA","Steve Cooper and Bob Pfister, 1988.","PVREF","Y","",2005-01-07,"10690","",2005-01-07,"10690"
"3719505010690","103","Grassland and Shrubland Habitat Types of Western Montana; USDA/FS Gen.Tech.Rep. INT-66","W.F. Mueggler and W.L. Stewart (1980)","PVREF","Y","",2004-10-19,"10690","",,""
"3719502010690","109","Native Woodland Habitat Types of Southwestern North Dakota; USDA/FS Research Paper RM-281","Michele M. Girard, Harold Goetz, Ardell J. Bjugstad (1989)","PVREF","N","",2004-10-19,"10690","",,""
"3719506010690","110","Forest Habitat Types of Northern Idaho: A Second Approximation; USDA/FS Gen.Tech.Rep. INT-236","Stephen V. Cooper, Kenneth E. Neiman, Robert Steele, and David W. Roberts (1987)","PVREF","Y","",2004-10-19,"10690","",,""
"3719525010690","111","Some combination of references 101 and 110","?","PVREF","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3719536010690","112","Classification and management of Montana's riparian and wetland sites. Misc. Pub. #54. Missoula, MT: Montana Riparian Association.","Hansen, Paul L.; Boggs, Keith L.; Cook, Bradley J.; and others.  1995","PVREF","Y","",2004-10-19,"10690","",,""
"3719595010690","113","Plant Community Classification for Alpine Vegetation on the Beaverhead National Forest, Montana. INT-GTR-362. 1997. 61 p.","Stephen V. Cooper, Peter lesica, and Deborah Page-Dumroese","PVREF","Y","",2004-10-19,"10690","",,""
"23492601000440","114","The Vegetation of the Grand River/Cedar River, Sioux, and Ashland Districts of the Custer NF: A Habitat Type Classification.","Hansen, Paul, L.; Hoffman, George, R.","PVREF","Y","",2013-05-08,"440","",,""
"23492602000440","115","Ecological Sites and habitat Types of Little Missouri National Grasslans and Western North Dakota","Jensen, Heisner, DiBenedetto, Wessman, Phillipe","PVREF","Y","",2013-05-08,"440","",,""
"3719576010690","199","FSH 2409.21h R-1 Timber Management Data Handbook.  For a description of the vegetative characteristics please refer to Forest Habitat Types of Montana; Gen. Tech. Rep INT-34 (Ref code 101).","Pfister, Kovalchik, Arno & Presby (Ref code 101)","PVREF","Y","",2004-10-19,"10690","",,""
"3719507010690","201","Plant Associations of Region Two: Potential Plant Communities of Wyoming, South Dakota, Nebraska, Colorado, and Kansas; Edition 4","USDA/FS Report R2-ECOL-87-2; Barry C. Johnston (1987)","PVREF","Y","",2004-10-19,"10690","",,""
"3719571010690","202","The Black Hills Community Inventory prepared by The Nature Conservancy authors, Midwest Regional Office, Minneapolis, Minnesota","Amanda G. McAdams, Don Faber-Langendoen, Diane A. Stutzman","PVREF","Y","",2004-10-19,"10690","",,""
"3719596010690","203","Riparian and Wetland Plant Communities of the Black Hills. The Nature Conservancy. 12/2000","Hollis J. Marriott and Don Faber-Langendoen","PVREF","Y","",2004-10-19,"10690","",,""
"3719503010690","204","Forest Vegetation of the Gunnison and Parts of the Uncompahgre National Forests: A Preliminary Habitat Type Classification; USDA/FS Gen.Tech.Rep. RM-163","Vera Komarkova, Robert R. Alexander, and Barry C. Johnston (1988)","PVREF","Y","",2004-10-19,"10690","",,""
"3719504010690","205","Forest Vegetation on National Forests in the Rocky Mountain and Intermountain Regions: Habitat Types and Community Types; USDA/FS Gen.Tech.Rep. RM-162","Robert R. Alexander (1988)","PVREF","Y","",2004-10-19,"10690","",,""
"3719579010690","206","Ecological Types of the Upper Gunnison Basin. Technical Report R2-RR-2001-01, 858 pp. Lakewood, CO: USDA Forest Service, Rocky Mountain Region. May 2001.","Johnston, Barry C., Laurie Huckaby, Terry J. Hughes, and Joseph Pecor","PVREF","Y","",2004-10-19,"10690","",,""
"3719586010690","207","Forest Vegetation of the Medicine Bow National Forest in Southeast Wyoming: A Habitat Type Classification.  RM-271. USDA Forest Service","Alexander, Robert R., Hoffman, George R., and Wirsing, John M. (1986)","PVREF","Y","",2004-10-19,"10690","",,""
"3719587010690","208","Forest Vegetation of the Bighorn Mountains, Wyoming: A Habitat Type Classification.  RM-170. USDA Forest Service","Hoffman, George R., and Alexander, Robert R. (1986)","PVREF","Y","",2004-10-19,"10690","",,""
"3719597010690","209","Forest Vegetation of the Arapaho and Roosevelt National Forests in Central Colorado: A Habitat Type Classification. RM-266. 1986. 48p.","Karl Hess and Robert R. Alexander","PVREF","Y","",2004-10-19,"10690","",,""
"3719499010690","301","Plant Associations of Arizona and New Mexico, ed. 3, 7/1997. Vol 1: Forests, Vol 2: Woodlands (an update of the USDA Forest Serv SW Region Habitat Typing Guides. 9/1996, rev 7/1997. Contract R3-95-27)","?","PVREF","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3719500010690","302","Forest and Woodland Habitat Types (Plant Associations) of Northern New  Mexico and Northern Arizona; 2nd Edition (1987)","?","PVREF","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3719501010690","303","Forest and Woodland Habitat Types (Plant Associations) of Arizona; South of the Mogollon Rim and Southwestern New Mexico; 2nd Edition (1987)","?","PVREF","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3719522010690","304","Some combination of references 301, 302, and 303","?","PVREF","Y","",2004-10-19,"10690","",2005-01-24,"10690"
"3719498010690","401","Forest Habitat Types of Central Idaho; USDA/FS Gen.Tech.Rep INT-144","R. Steele, R.D. Pfister, R.A. Ryker, and J.A. Kittams (1981)","PVREF","Y","",2004-10-19,"10690","",,""
"3719508010690","402","Forest Habitat Types of Eastern Idaho-Western Wyoming; USDA/FS Gen.Tech.Rep. INT-144","R. Steele, S.V. Cooper, D.M. Ondov, D.W. Roberts, and R.D. Pfister (1983)","PVREF","Y","",2004-10-19,"10690","",,""
"3719509010690","403","Coniferous Forest Habitat Types of Northern Utah; USDA/FS Gen.Tech.Rep. INT-170","R.L. Mauk and J.A. Henderson (1984)","PVREF","Y","",2004-10-19,"10690","",,""
"3719510010690","404","Coniferous Forest Habitat Types of Central and Southern Utah; USDA/FS Gen.Tech.Rep. INT-187","A.P. Youngblood and R.L. Mauk (1985)","PVREF","Y","",2004-10-19,"10690","",,""
"3719511010690","405","Aspen Community Types of the Intermountain Region; USDA/FS Gen.Tech.Rep. INT-250","W.F. Mueggler (1988)","PVREF","Y","",2004-10-19,"10690","",,""
"3719512010690","406","Riparian Community Type Classification of Eastern Idaho-Wester Wyoming; USDA/FS Report R4-ECOL-85-01","A.P Youngblood, W.G. Padgett, and A.H. Winward (1985)","PVREF","Y","",2004-10-19,"10690","",,""
"3719513010690","407","Riparian Community Type Classification of Utah and Southeastern Idaho; USDA/FS Report R4-ECOL-89-01","W.G. Padgett, A.P. Youngblood, and A.H. Winward (1989)","PVREF","Y","",2004-10-19,"10690","",,""
"3719514010690","408","Sagebrush-Grass Habitat Types of Southern Idaho; Forest, Wildlife, and Range Experiment Station Bulletin No. 35; Univ. of Idaho, Moscow","M. Hironaka, M.A. Fosberg, and A.H. Winward (1983)","PVREF","Y","",2004-10-19,"10690","",,""
