"CN","STATECD","SYMBOL","INV_GROUP_CD","UNITCD_LIST","START_DATE","END_DATE","MANUAL_START","MANUAL_END","NOTES","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
"157433394798795",66,"ACAS",,"",2010-01-01,,1.7,,"Achyranthes aspera","",2016-07-14,"798795","",,""
"157433395798795",69,"ACAS",,"",2010-01-01,,1.7,,"Achyranthes aspera","",2016-07-14,"798795","",,""
"157433396798795",69,"ACCO",,"",2010-01-01,,1.7,,"Acacia confusa","",2016-07-14,"798795","",,""
"157433397798795",69,"ACMA12",,"",2010-01-01,,1.7,,"Acacia mangium","",2016-07-14,"798795","",,""
"157433398798795",60,"ADPA",,"",2010-01-01,,1.7,,"Adenanthera pavonina","",2016-07-14,"798795","",,""
"157433399798795",66,"ADPA",,"",2010-01-01,,1.7,,"Adenanthera pavonina","",2016-07-14,"798795","",,""
"157433400798795",69,"ADPA",,"",2010-01-01,,1.7,,"Adenanthera pavonina","",2016-07-14,"798795","",,""
"157433401798795",70,"ADPA",,"",2010-01-01,,1.7,,"Adenanthera pavonina","",2016-07-14,"798795","",,""
"157433402798795",15,"AIAL",,"",2010-01-01,,1.7,,"Ailanthus altissima (tree of heaven)","",2016-07-14,"798795","",,""
"157433403798795",70,"ALCA7",,"",2010-01-01,,1.7,,"Allamanda cathartica","",2016-07-14,"798795","",,""
"157433404798795",15,"ALJU",,"",2010-01-01,,1.7,,"Albizia julibrissin (silktree)","",2016-07-14,"798795","",,""
"157433405798795",66,"AMSP",,"",2010-01-01,,1.7,,"Amaranthus spinosus","",2016-07-14,"798795","",,""
"157433406798795",69,"AMSP",,"",2010-01-01,,1.7,,"Amaranthus spinosus","",2016-07-14,"798795","",,""
"157433407798795",60,"ANLE4",,"",2010-01-01,,1.7,,"Antigonon leptopus","",2016-07-14,"798795","",,""
"157433408798795",66,"ANLE4",,"",2010-01-01,,1.7,,"Antigonon leptopus","",2016-07-14,"798795","",,""
"157433409798795",69,"ANLE4",,"",2010-01-01,,1.7,,"Antigonon leptopus","",2016-07-14,"798795","",,""
"157433410798795",70,"ANLE4",,"",2010-01-01,,1.7,,"Antigonon leptopus","",2016-07-14,"798795","",,""
"157433411798795",64,"ANLE4",,"",2010-01-01,,1.7,,"Achyranthes aspera","",2016-07-14,"798795","",,""
