"LICH_SPPCD","YEARSTART","YEAREND","SPP_ACRONYM","GENUS","SPECIES","CN","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
5502,1993,,"Pelbri","Peltigera","britannica","688983000333","",2004-03-22,"999","",2005-06-07,"333"
5503,1993,,"Pelcol","Peltigera","collina","688985000333","",2004-03-22,"999","",2005-06-07,"333"
5504,1993,,"Peleva","Peltigera","evansiana","688988000333","",2004-03-22,"999","",2005-06-07,"333"
5505,1993,,"Pelleu","Peltigera","leucophlebia","688990000333","",2004-03-22,"999","",2005-06-07,"333"
5506,1993,,"Pelmal","Peltigera","malacea","688991000333","",2004-03-22,"999","",2005-06-07,"333"
5507,1993,,"Pelmem","Peltigera","membranacea","688992000333","",2004-03-22,"999","",2005-06-07,"333"
5508,1993,,"Pelnec","Peltigera","neckeri","688993000333","",2004-03-22,"999","",2005-06-07,"333"
5509,1993,,"Pelneo","Peltigera","neopolydactyla","688994000333","",2004-03-22,"999","",2005-06-07,"333"
5510,1993,,"Pelpac","Peltigera","pacifica","688995000333","",2004-03-22,"999","",2005-06-07,"333"
5511,1993,,"Pelpol","Peltigera","polydactyla","688996000333","",2004-03-22,"999","",2005-06-07,"333"
5512,1994,,"Pelpra","Peltigera","praetextata","688997000333","",2004-03-22,"999","",2005-06-07,"333"
5513,1994,,"Pelcan","Peltigera","canina","688984000333","",2004-03-22,"999","",2005-06-07,"333"
5514,1999,,"Peldeg","Peltigera","degenii","688986000333","",2004-03-22,"999","",2005-06-07,"333"
5515,1999,,"Pelhor","Peltigera","horizontalis","688989000333","",2004-03-22,"999","",2005-06-07,"333"
5516,2000,,"Peleli","Peltigera","elisabethae","688987000333","",2004-03-22,"999","",2005-06-07,"333"
5517,2004,,"Pelsca","Peltigera","scabrosa","688998000333","",2005-06-07,"333","",,""
5518,2006,,"Peldid","Peltigera","didactyla","690014000333","",2007-05-10,"333","",,""
5600,1993,,"Pha","Phaeophyscia","","689019000333","",2004-03-22,"999","",2005-06-07,"333"
5601,1993,,"Phaadi","Phaeophyscia","adiastola","689000000333","",2004-03-22,"999","",2005-06-07,"333"
5602,1993,,"Phacer","Phaeophyscia","cernohorskyi","689001000333","",2004-03-22,"999","",,""
5603,1993,,"Phacil","Phaeophyscia","ciliata","689002000333","",2004-03-22,"999","",2005-06-07,"333"
5604,1993,,"Phaery","Phaeophyscia","erythrocardia","689007000333","",2004-03-22,"999","",2005-06-07,"333"
5605,1993,,"Phahir","Phaeophyscia","hirsuta","689008000333","",2004-03-22,"999","",,""
5606,1993,,"Phahrt","Phaeophyscia","hirtella","689009000333","",2004-03-22,"999","",2005-06-07,"333"
5607,1993,,"Phahis","Phaeophyscia","hispidula","689010000333","",2004-03-22,"999","",2005-06-07,"333"
5608,1993,,"Phaimb","Phaeophyscia","imbricata","689011000333","",2004-03-22,"999","",2005-06-07,"333"
5609,1993,,"Phains","Phaeophyscia","insignis","689012000333","",2004-03-22,"999","",2005-06-07,"333"
5610,1993,,"Phalea","Phaeophyscia","leana","689014000333","",2004-03-22,"999","",2005-06-07,"333"
5611,1993,,"Phanig","Phaeophyscia","nigricans","689015000333","",2004-03-22,"999","",2005-06-07,"333"
5612,1993,,"Phaorb","Phaeophyscia","orbicularis","689016000333","",2004-03-22,"999","",2005-06-07,"333"
5613,1993,,"Phapus","Phaeophyscia","pusilloides","689017000333","",2004-03-22,"999","",2005-06-07,"333"
5614,1993,,"Pharub","Phaeophyscia","rubropulchra","689018000333","",2004-03-22,"999","",2005-06-07,"333"
5615,1994,,"Phadec","Phaeophyscia","decolor","689003000333","",2004-03-22,"999","",2005-06-07,"333"
5616,1997,2005,"Phaend","Phaeophyscia","endococcinea","689005000333","",2004-03-22,"999","",2005-06-07,"333"
5616,2005,,"Phaend","Phaeophyscia","endococcina","689004000333","",2006-03-31,"333","",,""
5617,2005,,"Phakai","Phaeophyscia","kairamoi","689013000333","",2006-03-31,"333","",,""
5618,2005,,"Phaedd","Phaeophyscia","endococcinodes","689006000333","",2006-03-31,"333","",,""
5619,2006,,"Phasci","Phaeophyscia","sciastra","690015000333","",2007-05-10,"333","",,""
