"LICH_SPPCD","SPP_NAME","YEAREND","YEARSTART","SPP_COMMENTS","CN","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
8036,"Usnea glabrata",,1993,"ACTION 3: For analyzing data from multiple years crossing 2000, 8088 Usnea esperantiana should be combined into 8036 U. glabrata. 8088 U. esperantiana possibly intergrades with 8036 U. glabrata.","689751000333","",2007-05-04,"333","",,""
8037,"Usnea glabrescens",,1993,"ACTION 2: 8034 Usnea fulvoreagens should be combined into 8037 U. glabrescens for analysis. This name was first used in 1999 in the west.  Previous material classed as 8000 Usnea sp. may include this taxon. It cannot be distinguished from 8034 U. fulvoreagens without TLC and should be considered a synonym for the purposes of this program.","689752000333","",2004-02-10,"999","",,"333"
8042,"Usnea intermedia",,1993,"ACTION 2: 8007Usnea arizonica should be combined into 8042 Usnea intermedia for all analyses.  The two species are synonyms and 8042 Usnea intermediais used for all identifications of similar specimens  for 2010 data and later (Clerc in Nash et al. 2007. Lichen Flora...Sonoran...vol 3).","2315689000440","",2011-03-09,"440","",,""
8044,"Usnea lapponica",,1993,"ACTION 0. In the western US, this name has been used in the broad sense, including all specimens that were papillate, tufted, and had soredia erupting through concave craters in the cortex, with reflexed edges, and soralia often surrounding the central cord.","689753000333","",2004-02-10,"999","",2004-04-20,"999"
8047,"Usnea madeirensis",2005,1993,"ACTION 0. 8047 Usnea madeirensis = 8047 Usnea silesiaca The latter name was used starting with 2005 data.","689754000333","",2007-05-04,"333","",,""
8047,"Usnea silesiaca",,2005,"ACTION 0. 8047 Usnea madeirensis = 8047 Usnea silesiaca The latter name was used starting with 2005 data.","689755000333","",2007-05-04,"333","",,""
8058,"Usnea plicata",,1993,"ACTION 2: 8058 Usnea plicata should be combined into 8029 U. filipendula for analysis. Starting in 1998, this aggregate (mostly West) has been included in the broader aggregate 8029 U. filipendula; the name 8058 U. plicata is no longer used in FIA as it is nomenclaturally ambiguous.","689756000333","",2004-02-10,"999","",2005-06-15,"333"
8061,"Usnea parvula",,2010,"ACTION 3: For analyzing data from multiple years crossing 2010, 8016 Usnea cirrosa should be combined into 8061 U. parvula.  The name U. parvula was first applied for the 2010 data (Clerc in Nash et al. 2007. Lichen Flora...Sonoran...vol 3).  Prior to this, it was most likely identified as 8016 U. cirrosa. 8016 U. cirrosa has red pigment present in the edges of apothecia; 8061 U. parvula does not.","2315690000440","",2011-03-09,"440","",,""
8072,"Usnea subfloridana",,1993,"ACTION 0. In Colorado 1992-1996, and in the Pacific Northwest region 1994, this name was used in the broad sense, including all specimens that were papillate, tufted, and had isidia. Starting with 1998 data, this taxon was applied sensu stricto. In the East for 1993-1997 data, this name was used for all specimens that were papillate, tufted, and had both soredia and isidia, the isidia projecting from the soralia. Starting with 1998 data, this taxon was applied sensu stricto after the concepts of Halonen et al. (1998, Bryologist 101:36-60), to the extent that chemotypes can be distinguished with spot tests alone.","689757000333","",2004-02-10,"999","",,"333"
8087,"Usnea chaetophora",,1997,"ACTION 3: For analyzing data from multiple years crossing 1998, 8087 Usnea chaetophora should be combined into 8029 U. filipendula. In the western US, this taxon represents part of the U. filipendula group, which includes U. plicata and several others.  This name began to be applied widely in the western US in 1998 data. This species group replaces the old (pre-1998) taxon U. plicata.","689745000333","",2007-05-04,"333","",2008-04-11,"333"
8088,"Usnea esperantiana",,1997,"ACTION 3: For analyzing data from multiple years crossing 2000, 8088 Usnea esperantiana should be combined into 8036 U. glabrata. This taxon was first applied in 2000 in the west.  It is a recognizable syndrome, but possibly intergrades with 8036 U. glabrata","689747000333","",2004-02-10,"999","",2004-04-20,"999"
8100,"Waynea",,1993,"ACTION 1: Exclude for most FIA analysis. Squamulose growth form included in some data. This has been collected inconsistently and not included in data for most years. If it appears in a packet, it is recorded on the ID sheet but not entered in the data files.","689761000333","",2007-05-04,"333","",,""
