"CN","ATTRIBUTE_NBR","ATTRIBUTE_DESCR","TIMBERLAND","EVAL_TYP","EXPRESSION","WHERE_CLAUSE","FOOTNOTE","ATTRIBUTE_GLOSSARY","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","NOTES"
"218380369010661",84,"Average annual harvest removals of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on timberland","Y","EXPREMV","t.tparemv_unadj*t.remvcfgs*decode(dia,null,adj_factor_subp,decode(least(dia,5-0.001),dia,adj_factor_micr,decode(least(dia,nvl(macro_breakpoint_dia,9999)-0.001),dia,adj_factor_subp,adj_factor_macr)))","and pet.eval_typ='EXPREMV' and t.plt_cn=c.plt_cn and t.condid=c.condid and ((t.statuscd=3) or (t.statuscd=2 and t.agentcd=80))","Harvest removals are cut and utilized trees and trees killed as a result of harvest operations but not utilized.","Average annual growing-stock cubic-foot harvest removals on timberland. Trees that were growing-stock tress on timberland at the time of the previous inventory were were either cut and removed by direct human activity related to harvesting or died as a result of silvicultural or landclearing activity (death caused by harvesting or other silvicultural activity, including girdling, chaining, etc., or to landclearing activity).<br>Growing-stock:  All live trees of commercial species that meet minimum merchantability standards. In general, these trees have at least one solid 8-foot section, are reasonably free of form defect on the merchantable bole, and at least 34 percent or more of the volume is merchantable. For the California, Oregon, and Washington inventories, a 26 percent or more merchantable volume standard is applied, rather than 34 percent or more. Excludes rough or rotten cull trees.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br> Timberland: Forest land that is producing or is capable of producing crops of industrial wood and not withdrawn from timber utilization by statute or administrative regulation. (Note: Areas qualifying as timberland are capable of producing at least 20 cubic feet per acre per year of industrial wood in natural stands. Currently inaccessible and inoperable areas are included.)<br>","",2009-10-29,"10661","",2013-04-25,"440",""
"218380370010661",85,"Average annual harvest removals of sawtimber trees, in board feet (International 1/4-inch rule), on timberland","Y","EXPREMV","t.tparemv_unadj*t.remvbfsl*decode(dia,null,adj_factor_subp,decode(least(dia,5-0.001),dia,adj_factor_micr,decode(least(dia,nvl(macro_breakpoint_dia,9999)-0.001),dia,adj_factor_subp,adj_factor_macr)))","and pet.eval_typ='EXPREMV' and t.plt_cn=c.plt_cn and t.condid=c.condid and ((t.statuscd=3) or (t.statuscd=2 and t.agentcd=80))","Harvest removals are cut and utilized trees and trees killed as a result of harvest operations but not utilized.","Average annual board-foot harvest removals on timberland. Sawtimber size trees that were were either cut and removed by direct human activity related to harvesting or died as a result of silvicultural or landclearing activity (death caused by harvesting or other silvicultural activity, including girdling, chaining, etc., or to landclearing activity).<br>Sawtimber: A tree of commercial species containing at least a 12-foot saw log or two noncontiguous saw logs 8 feet or longer, and meeting regional specifications for freedom from defect. Softwoods must be at least 9.0 inches d.b.h. Hardwoods must be at least 11.0 inches d.b.h.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br> Timberland: Forest land that is producing or is capable of producing crops of industrial wood and not withdrawn from timber utilization by statute or administrative regulation. (Note: Areas qualifying as timberland are capable of producing at least 20 cubic feet per acre per year of industrial wood in natural stands. Currently inaccessible and inoperable areas are included.)<br>","",2009-10-29,"10661","",2013-04-25,"440",""
"218380371010661",86,"Average annual other removals of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on forest land","N","EXPREMV","t.tparemv_unadj*t.fremvcfal*decode(t.dia,null,pop_stratum.adj_factor_subp,decode(least(t.dia,5-0.001),t.dia,pop_stratum.adj_factor_micr,decode(least(t.dia,nvl(p.macro_breakpoint_dia,9999)-0.001),t.dia,pop_stratum.adj_factor_subp,pop_stratum.adj_factor_macr)))","and pet.eval_typ='EXPREMV' and t.plt_cn=c.plt_cn and t.condid=c.condid and not(t.statuscd=3) and not(t.statuscd=2 and t.agentcd=80)","Other removals are live trees associated with land-use reclassifications.","Average annual sound cubic-foot other removals from forest land where the land status is no longer forest land and the tree was not harvested and did not die as a result of silvicultural or landclearing.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br>","",2009-10-29,"10661","",2013-04-25,"440",""
"218380372010661",87,"Average annual other removals of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on forest land","N","EXPREMV","t.tparemv_unadj*fremvcfgs*decode(dia,null,adj_factor_subp,decode(least(dia,5-0.001),dia,adj_factor_micr,decode(least(dia,nvl(macro_breakpoint_dia,9999)-0.001),dia,adj_factor_subp,adj_factor_macr)))","and pet.eval_typ='EXPREMV' and t.plt_cn=c.plt_cn and t.condid=c.condid and not(t.statuscd=3) and not(t.statuscd=2 and t.agentcd=80)","Other removals are live trees associated with land-use reclassifications.","Average annual other removals of growing-stock cubic-foot volume from forest land where the land status is no longer forest land and the tree was not harvested and did not die as a result of silvicultural or landclearing.<br>Growing-stock:  All live trees of commercial species that meet minimum merchantability standards. In general, these trees have at least one solid 8-foot section, are reasonably free of form defect on the merchantable bole, and at least 34 percent or more of the volume is merchantable. For the California, Oregon, and Washington inventories, a 26 percent or more merchantable volume standard is applied, rather than 34 percent or more. Excludes rough or rotten cull trees.<br>Average annual growing-stock cubic-foot other removals from forest land where the land status is no longer forest land and the tree was not harvested and did not die as a result of silvicultural or landclearing.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br>","",2009-10-29,"10661","",2013-04-25,"440",""
"218380373010661",88,"Average annual other removals of sawtimber trees, in board feet (International 1/4-inch rule), on forest land","N","EXPREMV","t.tparemv_unadj*fremvbfsl*decode(dia,null,adj_factor_subp,decode(least(dia,5-0.001),dia,adj_factor_micr,decode(least(dia,nvl(macro_breakpoint_dia,9999)-0.001),dia,adj_factor_subp,adj_factor_macr)))","and pet.eval_typ='EXPREMV' and t.plt_cn=c.plt_cn and t.condid=c.condid and not(t.statuscd=3) and not(t.statuscd=2 and t.agentcd=80)","Other removals are live trees associated with land-use reclassifications.","Average annual sawtimber board-foot other removals from forest land where the land status is no longer forest land and the tree was not harvested and did not die as a result of silvicultural or landclearing.<br>Sawtimber: A tree of commercial species containing at least a 12-foot saw log or two noncontiguous saw logs 8 feet or longer, and meeting regional specifications for freedom from defect. Softwoods must be at least 9.0 inches d.b.h. Hardwoods must be at least 11.0 inches d.b.h.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br>","",2009-10-29,"10661","",2013-04-25,"440",""
"218380374010661",89,"Average annual other removals of live trees (at least 5 inches d.b.h./d.r.c.), in cubic feet, on timberland","Y","EXPREMV","t.tparemv_unadj*remvcfal*decode(dia,null,adj_factor_subp,decode(least(dia,5-0.001),dia,adj_factor_micr,decode(least(dia,nvl(macro_breakpoint_dia,9999)-0.001),dia,adj_factor_subp,adj_factor_macr)))","and pet.eval_typ='EXPREMV' and t.plt_cn=c.plt_cn and t.condid=c.condid and not(t.statuscd=3) and not(t.statuscd=2 and t.agentcd=80)","Other removals are live trees associated with land-use reclassifications.","Average annual sound cubic-foot other removals from timberland where the land status is no longer timberland and the tree was not harvested and did not die as a result of silvicultural or landclearing.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br> Timberland: Forest land that is producing or is capable of producing crops of industrial wood and not withdrawn from timber utilization by statute or administrative regulation. (Note: Areas qualifying as timberland are capable of producing at least 20 cubic feet per acre per year of industrial wood in natural stands. Currently inaccessible and inoperable areas are included.)<br>","",2009-10-29,"10661","",2013-04-25,"440",""
"398996000440",75,"Aboveground dry weight of live trees (at least 1 inch d.b.h./d.r.c), in short tons, on forest land calculated with retired regional methods","N","EXPVOL","tree_regional_biomass.regional_drybiot/2000*t.tpa_unadj*decode(dia,null,adj_factor_subp,decode(least(dia,5-0.001),dia,adj_factor_micr,decode(least(dia, nvl(MACRO_BREAKPOINT_DIA,9999)-0.001),dia,adj_factor_subp,            adj_factor_macr)))"," and pet.eval_typ='EXPVOL'      and t.cn=tree_regional_biomass.tre_cn and t.plt_cn=c.plt_cn and t.condid=c.condid and c.cond_status_cd=1 and t.statuscd=1","","The aboveground weight of live trees (including bark but excluding foliage) reported in dry tons (dry weight). Biomass has four components for most tree species (bole, tops and limbs, saplings, and stump) but is estimated as a single component for woodland species.<br>Bole: Biomass of a tree from 1 foot above the ground to a 4-inch top outside bark or to a point where the central stem breaks into limbs.<br>Tops and limbs: Total biomass of a tree from a 1-foot stump minus the bole.<br>Saplings: Total aboveground biomass of a tree from 1 to 5 inches in d.b.h.<br>Stump: Biomass of a tree 5 inches d.b.h. and larger from the ground to a height of 1 foot.<br>Woodland species: The oven-dry biomass (pounds) of the aboveground portion of a live or dead woodland species tree (where the species belongs to either of the Western woodland softwoods species group or the Western woodland hardwoods species group), excluding foliage, the tree tip (top of the tree above 1-1/2 inches in diameter), and a portion of the stump from ground to diameter at root collar (DRC).<br>Regional biomass estimates of live and dead trees 1 inch in diameter and larger using equations and methods that vary by FIA work unit. Both regional total dry biomass and regional merchantable biomass preserve the original data and computation procedures used by FIA work units to calculate total and merchantable biomass in previous versions of the FIADB. Users should be aware that for some FIA work units, these biomass estimates may not include bark.<br>Regional dry total biomass (pounds). The total aboveground biomass of a sample tree 1.0 inch diameter or larger, including all tops and limbs (but excluding foliage).<br>Regional dry merchantable stem biomass (pounds). The total gross biomass (including bark) of a tree 5.0 inches DBH or larger from a 1-foot stump to a minimum 4-inch top diameter of the central stem.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br>","",2008-09-23,"10839","",2013-04-25,"440",""
"398997000440",76,"Aboveground merchantable dry weight of live trees (at least 5 inches d.b.h./d.r.c), in short tons, on forest land calculated with retired regional methods","N","EXPVOL","tree_regional_biomass.regional_drybiom/2000*t.tpa_unadj*decode(dia,null,adj_factor_subp,decode(least(dia,5-0.001),dia,adj_factor_micr,decode(least(dia, nvl(MACRO_BREAKPOINT_DIA,9999)-0.001),dia,adj_factor_subp,            adj_factor_macr)))"," and pet.eval_typ='EXPVOL'      and t.cn=tree_regional_biomass.tre_cn and t.plt_cn=c.plt_cn and t.condid=c.condid and c.cond_status_cd=1 and t.statuscd=1","","The aboveground weight of live trees (including bark but excluding foliage) reported in dry tons (dry weight). Biomass has four components for most tree species (bole, tops and limbs, saplings, and stump) but is estimated as a single component for woodland species.<br>Bole: Biomass of a tree from 1 foot above the ground to a 4-inch top outside bark or to a point where the central stem breaks into limbs.<br>Tops and limbs: Total biomass of a tree from a 1-foot stump minus the bole.<br>Saplings: Total aboveground biomass of a tree from 1 to 5 inches in d.b.h.<br>Stump: Biomass of a tree 5 inches d.b.h. and larger from the ground to a height of 1 foot.<br>Woodland species: The oven-dry biomass (pounds) of the aboveground portion of a live or dead woodland species tree (where the species belongs to either of the Western woodland softwoods species group or the Western woodland hardwoods species group), excluding foliage, the tree tip (top of the tree above 1-1/2 inches in diameter), and a portion of the stump from ground to diameter at root collar (DRC).<br>Regional biomass estimates of live and dead trees 1 inch in diameter and larger using equations and methods that vary by FIA work unit. Both regional total dry biomass and regional merchantable biomass preserve the original data and computation procedures used by FIA work units to calculate total and merchantable biomass in previous versions of the FIADB. Users should be aware that for some FIA work units, these biomass estimates may not include bark.<br>Regional dry total biomass (pounds). The total aboveground biomass of a sample tree 1.0 inch diameter or larger, including all tops and limbs (but excluding foliage).<br>Regional dry merchantable stem biomass (pounds). The total gross biomass (including bark) of a tree 5.0 inches DBH or larger from a 1-foot stump to a minimum 4-inch top diameter of the central stem.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br>","",2008-09-23,"10839","",2013-04-25,"440",""
"398998000440",77,"Aboveground merchantable dry weight of live trees (at least 5 inches d.b.h./d.r.c), in short tons, on timberland calculated with retired regional methods","Y","EXPVOL","tree_regional_biomass.regional_drybiom/2000*t.tpa_unadj*decode(dia,null,adj_factor_subp,decode(least(dia,5-0.001),dia,adj_factor_micr,decode(least(dia, nvl(MACRO_BREAKPOINT_DIA,9999)-0.001),dia,adj_factor_subp,            adj_factor_macr)))"," and pet.eval_typ='EXPVOL'      and t.cn=tree_regional_biomass.tre_cn and t.plt_cn=c.plt_cn and t.condid=c.condid and c.cond_status_cd=1 and c.reservcd=0 and c.siteclcd in (1,2,3,4,5,6) and t.statuscd=1","","The aboveground weight of live trees (including bark but excluding foliage) reported in dry tons (dry weight). Biomass has four components for most tree species (bole, tops and limbs, saplings, and stump) but is estimated as a single component for woodland species.<br>Bole: Biomass of a tree from 1 foot above the ground to a 4-inch top outside bark or to a point where the central stem breaks into limbs.<br>Tops and limbs: Total biomass of a tree from a 1-foot stump minus the bole.<br>Saplings: Total aboveground biomass of a tree from 1 to 5 inches in d.b.h.<br>Stump: Biomass of a tree 5 inches d.b.h. and larger from the ground to a height of 1 foot.<br>Woodland species: The oven-dry biomass (pounds) of the aboveground portion of a live or dead woodland species tree (where the species belongs to either of the Western woodland softwoods species group or the Western woodland hardwoods species group), excluding foliage, the tree tip (top of the tree above 1-1/2 inches in diameter), and a portion of the stump from ground to diameter at root collar (DRC).<br>Regional biomass estimates of live and dead trees 1 inch in diameter and larger using equations and methods that vary by FIA work unit. Both regional total dry biomass and regional merchantable biomass preserve the original data and computation procedures used by FIA work units to calculate total and merchantable biomass in previous versions of the FIADB. Users should be aware that for some FIA work units, these biomass estimates may not include bark.<br>Regional dry total biomass (pounds). The total aboveground biomass of a sample tree 1.0 inch diameter or larger, including all tops and limbs (but excluding foliage).<br>Regional dry merchantable stem biomass (pounds). The total gross biomass (including bark) of a tree 5.0 inches DBH or larger from a 1-foot stump to a minimum 4-inch top diameter of the central stem.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br> Timberland: Forest land that is producing or is capable of producing crops of industrial wood and not withdrawn from timber utilization by statute or administrative regulation. (Note: Areas qualifying as timberland are capable of producing at least 20 cubic feet per acre per year of industrial wood in natural stands. Currently inaccessible and inoperable areas are included.)<br>","",2008-09-23,"10839","",2013-04-25,"440",""
"218380375010661",90,"Average annual other removals of growing-stock trees (at least 5 inches d.b.h.), in cubic feet, on timberland","Y","EXPREMV","t.tparemv_unadj*t.remvcfgs*decode(dia,null,adj_factor_subp,decode(least(dia,5-0.001),dia,adj_factor_micr,decode(least(dia,nvl(macro_breakpoint_dia,9999)-0.001),dia,adj_factor_subp,adj_factor_macr)))","and pet.eval_typ='EXPREMV' and t.plt_cn=c.plt_cn and t.condid=c.condid and not(t.statuscd=3) and not(t.statuscd=2 and t.agentcd=80)","Other removals are live trees associated with land-use reclassifications.","Average annual sound cubic-foot other removals from timberland where the land status is no longer timberland and the tree was not harvested and did not die as a result of silvicultural or landclearing.<br>Growing-stock:  All live trees of commercial species that meet minimum merchantability standards. In general, these trees have at least one solid 8-foot section, are reasonably free of form defect on the merchantable bole, and at least 34 percent or more of the volume is merchantable. For the California, Oregon, and Washington inventories, a 26 percent or more merchantable volume standard is applied, rather than 34 percent or more. Excludes rough or rotten cull trees.<br>Tree: A woody plant usually having one or more erect perennial stems, a stem diameter at breast height of at least 3.0 inches, a more or less definitely formed crown of foliage, and a height of at least 15 feet at maturity.<br>Forest land: Land at least 10-percent stocked by trees of any size, including land that formerly had such tree cover and that will be naturally or artificially regenerated. Forest land includes transition zones, such as areas between heavily forested and nonforested lands that are at least 10-percent stocked with trees and forest areas adjacent to urban and builtup lands. Also included are pinyon-juniper and chaparral areas in the West and afforested areas. The minimum area for classification of forest land is 1 acre and 120 feet wide measured stem-to-stem from the outer-most edge. Unimproved roads and trails, streams, and clearings in forest areas are classified as forest if less than 120 feet wide.<br> Timberland: Forest land that is producing or is capable of producing crops of industrial wood and not withdrawn from timber utilization by statute or administrative regulation. (Note: Areas qualifying as timberland are capable of producing at least 20 cubic feet per acre per year of industrial wood in natural stands. Currently inaccessible and inoperable areas are included.)<br>","",2009-10-29,"10661","",2013-04-25,"440",""
