"STATECD","VALUE","MEANING","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE"
1,1,"Southwest-South","",2005-02-24,"333","",2009-01-27,"440"
1,2,"Southwest-North","",2005-02-24,"333","",2009-01-27,"440"
1,3,"Southeast","",2005-02-24,"333","",2009-01-27,"440"
1,4,"West Central","",2005-02-24,"333","",2009-01-27,"440"
1,5,"North Central","",2005-02-24,"333","",2009-01-27,"440"
1,6,"North","",2005-02-24,"333","",2009-01-27,"440"
2,1,"Alaska","",2005-02-24,"333","",2009-01-27,"440"
4,1,"Southern","",2005-02-24,"333","",2009-01-27,"440"
4,2,"Northern","",2005-02-24,"333","",2009-01-27,"440"
5,1,"South Delta","",2005-02-24,"333","",2009-01-27,"440"
5,2,"North Delta","",2005-02-24,"333","",2009-01-27,"440"
5,3,"Southwest","",2005-02-24,"333","",2009-01-27,"440"
5,4,"Ouachita","",2005-02-24,"333","",2009-01-27,"440"
5,5,"Ozark","",2005-02-24,"333","",2009-01-27,"440"
6,1,"North Coast","",2005-02-24,"333","",2009-01-27,"440"
6,2,"North Interior","",2005-02-24,"333","",2009-01-27,"440"
6,3,"Sacramento","",2005-02-24,"333","",2009-01-27,"440"
6,4,"Central Coast","",2005-02-24,"333","",2009-01-27,"440"
6,5,"San Joaquin","",2005-02-24,"333","",2009-01-27,"440"
6,6,"Southern","",2005-02-24,"333","",2009-01-27,"440"
8,1,"Northern Front Range","",2005-02-24,"333","",2009-01-27,"440"
8,2,"Southern Front Range","",2005-02-24,"333","",2009-01-27,"440"
8,3,"West Central","",2005-02-24,"333","",2009-01-27,"440"
8,4,"Western","",2005-02-24,"333","",2009-01-27,"440"
8,5,"Eastern","",2005-02-24,"333","",2009-01-27,"440"
9,1,"State","",2005-02-24,"333","",2009-01-27,"440"
10,1,"State","",2005-02-24,"333","",2009-01-27,"440"
11,1,"District of Columbia","",2005-06-07,"333","",2009-01-27,"440"
12,1,"Northeast","",2005-02-24,"333","",2009-01-27,"440"
12,2,"Northwest","",2005-02-24,"333","",2009-01-27,"440"
12,3,"Central","",2005-02-24,"333","",2009-01-27,"440"
12,4,"South","",2005-02-24,"333","",2009-01-27,"440"
13,1,"Southeast","",2005-02-24,"333","",2009-01-27,"440"
13,2,"Southwest","",2005-02-24,"333","",2009-01-27,"440"
13,3,"Central","",2005-02-24,"333","",2009-01-27,"440"
13,4,"North Central","",2005-02-24,"333","",2009-01-27,"440"
13,5,"North","",2005-02-24,"333","",2009-01-27,"440"
15,1,"Hawaii","",2005-02-24,"333","",2015-02-13,"440"
